t_s,altitude_m,relative_speed_mps,vertical_speed_mps,mach,aoa_deg,q_pa,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps,quat_x,quat_y,quat_z,quat_w,omega_x_rps,omega_y_rps,omega_z_rps,pitch_cmd,yaw_cmd,roll_cmd,throttle,engine,sas,rcs,force_x_n,force_y_n,force_z_n,moment_x_nm,moment_y_nm,moment_z_nm,accel_x_mps2,accel_y_mps2,accel_z_mps2,control_mode,surface_pitch,surface_yaw,surface_roll,actuator_saturated,target_quat_x,target_quat_y,target_quat_z,target_quat_w
514.808333,102182.617270,4774.523354,470.085875,14.477124,5.615808,17894.552757,4822008967107.262695,27217094.295888,3302546.107454,-185.224781,55830.531155,-594.314587,-0.014421002,0.040567839,0.705082719,0.707816816,0.002240977,0.000899914,0.006382665,1.000000,0.000000,0.000000,0.000000,1,1,1,-28700.247243,28.715366,12288.479162,-9.163184,371.775180,-37.052622,-0.270780,-3.963277,-3.014617,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014421002,0.040567839,0.705082719,0.707816816
514.816667,102186.534613,4774.495257,470.109720,14.477039,5.615731,17889.918588,4822008967105.718750,27217559.550039,3302541.154623,-185.227038,55830.498128,-594.339709,-0.014416045,0.040577532,0.705101101,0.707798049,0.002238499,0.000926952,0.006380184,1.000000,0.000000,0.000000,0.000000,1,1,1,-28692.828855,54.045408,12285.093603,-10.065196,370.182307,-48.471165,-0.273099,-3.962605,-3.014873,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014416045,0.040577532,0.705101101,0.707798049
514.825000,102190.452155,4774.467165,470.133564,14.476954,5.615640,17885.285439,4822008967104.174805,27218024.803915,3302536.201583,-185.229314,55830.465106,-594.364833,-0.014411175,0.040587297,0.705119472,0.707779287,0.002235777,0.000953874,0.006376941,1.000000,0.000000,0.000000,0.000000,1,1,1,-28685.410089,79.347119,12281.670506,-10.965318,368.534402,-59.874098,-0.275416,-3.961933,-3.015132,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014411175,0.040587297,0.705119472,0.707779287
514.833333,102194.369897,4774.439079,470.157406,14.476868,5.615537,17880.653310,4822008967102.630859,27218490.057515,3302531.248333,-185.231609,55830.432090,-594.389959,-0.014406394,0.040597132,0.705137830,0.707760531,0.002232813,0.000980676,0.006372937,1.000000,0.000000,0.000000,0.000000,1,1,1,-28677.990951,104.617531,12278.210075,-11.863444,366.831763,-71.260090,-0.277730,-3.961262,-3.015393,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014406394,0.040597132,0.705137830,0.707760531
514.841667,102198.287838,4774.411000,470.181247,14.476783,5.615421,17876.022200,4822008967101.086914,27218955.310841,3302526.294874,-185.233923,55830.399079,-594.415087,-0.014401702,0.040607035,0.705156172,0.707741784,0.002229607,0.001007355,0.006368174,1.000000,0.000000,0.000000,0.000000,1,1,1,-28670.571447,129.853684,12274.712514,-12.759471,365.074698,-82.627816,-0.280041,-3.960590,-3.015658,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014401702,0.040607035,0.705156172,0.707741784
514.850000,102202.205977,4774.382927,470.205085,14.476698,5.615293,17871.392111,4822008967099.542969,27219420.563892,3302521.341206,-185.236257,55830.366075,-594.440218,-0.014397098,0.040617007,0.705174496,0.707723048,0.002226160,0.001033907,0.006362653,1.000000,0.000000,0.000000,0.000000,1,1,1,-28663.151585,155.052624,12271.178036,-13.653295,363.263521,-93.975952,-0.282348,-3.959919,-3.015926,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014397098,0.040617007,0.705174496,0.707723048
514.858333,102206.124313,4774.354860,470.228922,14.476613,5.615152,17866.763042,4822008967097.999023,27219885.816667,3302516.387328,-185.238610,55830.333075,-594.465350,-0.014392584,0.040627045,0.705192799,0.707704325,0.002222472,0.001060326,0.006356375,1.000000,0.000000,0.000000,0.000000,1,1,1,-28655.731375,180.211409,12267.606860,-14.544815,361.398554,-105.303182,-0.284652,-3.959248,-3.016197,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014392584,0.040627045,0.705192799,0.707704325
514.866667,102210.042849,4774.326799,470.252758,14.476528,5.614998,17862.134993,4822008967096.455078,27220351.069168,3302511.433241,-185.240982,55830.300081,-594.490485,-0.014388160,0.040637149,0.705211081,0.707685618,0.002218544,0.001086611,0.006349342,1.000000,0.000000,0.000000,0.000000,1,1,1,-28648.310823,205.327104,12263.999205,-15.433926,359.480127,-116.608190,-0.286953,-3.958577,-3.016471,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014388160,0.040637149,0.705211081,0.707685618
514.875000,102213.961584,4774.298745,470.276591,14.476443,5.614832,17857.507962,4822008967094.911133,27220816.321394,3302506.478944,-185.243373,55830.267093,-594.515623,-0.014383826,0.040647317,0.705229339,0.707666928,0.002214377,0.001112756,0.006341555,1.000000,0.000000,0.000000,0.000000,1,1,1,-28640.889939,230.396782,12260.355300,-16.320527,357.508578,-127.889667,-0.289249,-3.957907,-3.016748,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014383826,0.040647317,0.705229339,0.707666928
514.883333,102217.880518,4774.270696,470.300423,14.476358,5.614653,17852.881951,4822008967093.367188,27221281.573345,3302501.524437,-185.245783,55830.234111,-594.540762,-0.014379584,0.040657548,0.705247569,0.707648258,0.002209970,0.001138758,0.006333015,1.000000,0.000000,0.000000,0.000000,1,1,1,-28633.468736,255.417529,12256.675379,-17.204517,355.484252,-139.146309,-0.291541,-3.957236,-3.017028,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014379584,0.040657548,0.705247569,0.707648258
514.891667,102221.799649,4774.242654,470.324253,14.476273,5.614462,17848.256960,4822008967091.823242,27221746.825021,3302496.569721,-185.248213,55830.201134,-594.565904,-0.014375432,0.040667841,0.705265771,0.707629610,0.002205326,0.001164613,0.006323724,1.000000,0.000000,0.000000,0.000000,1,1,1,-28626.047229,280.386437,12252.959684,-18.085793,353.407504,-150.376815,-0.293828,-3.956566,-3.017311,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014375432,0.040667841,0.705265771,0.707629610
514.900000,102225.718979,4774.214618,470.348081,14.476188,5.614259,17843.632988,4822008967090.279297,27222212.076422,3302491.614796,-185.250662,55830.168162,-594.591048,-0.014371372,0.040678195,0.705283943,0.707610987,0.002200445,0.001190318,0.006313685,1.000000,0.000000,0.000000,0.000000,1,1,1,-28618.625427,305.300610,12249.208455,-18.964256,351.278693,-161.579890,-0.296110,-3.955896,-3.017597,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014371372,0.040678195,0.705283943,0.707610987
514.908333,102229.638508,4774.186589,470.371907,14.476103,5.614044,17839.010034,4822008967088.735352,27222677.327549,3302486.659661,-185.253129,55830.135197,-594.616195,-0.014367404,0.040688609,0.705302081,0.707592390,0.002195327,0.001215867,0.006302898,1.000000,0.000000,0.000000,0.000000,1,1,1,-28611.203347,330.157163,12245.421943,-19.839805,349.098188,-172.754244,-0.298387,-3.955226,-3.017886,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014367404,0.040688609,0.705302081,0.707592390
514.916667,102233.558235,4774.158565,470.395731,14.476018,5.613816,17834.388100,4822008967087.191406,27223142.578401,3302481.704317,-185.255616,55830.102236,-594.641344,-0.014363529,0.040699081,0.705320184,0.707573821,0.002189973,0.001241258,0.006291366,1.000000,0.000000,0.000000,0.000000,1,1,1,-28603.781005,354.953222,12241.600402,-20.712339,346.866365,-183.898590,-0.300659,-3.954557,-3.018178,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014363529,0.040699081,0.705320184,0.707573821
514.925000,102237.478160,4774.130548,470.419554,14.475933,5.613577,17829.767185,4822008967085.647461,27223607.828978,3302476.748762,-185.258121,55830.069282,-594.666496,-0.014359746,0.040709610,0.705338249,0.707555284,0.002184384,0.001266488,0.006279091,1.000000,0.000000,0.000000,0.000000,1,1,1,-28596.358418,379.685923,12237.744095,-21.581761,344.583607,-195.011650,-0.302925,-3.953887,-3.018472,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014359746,0.040709610,0.705338249,0.707555284
514.933333,102241.398285,4774.102537,470.443374,14.475848,5.613325,17825.147287,4822008967084.103516,27224073.079281,3302471.792999,-185.260646,55830.036333,-594.691650,-0.014356056,0.040720195,0.705356276,0.707536779,0.002178561,0.001291551,0.006266075,1.000000,0.000000,0.000000,0.000000,1,1,1,-28588.935602,404.352413,12233.853283,-22.447970,342.250303,-206.092149,-0.305185,-3.953218,-3.018770,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014356056,0.040720195,0.705356276,0.707536779
514.941667,102245.318608,4774.074532,470.467193,14.475763,5.613061,17820.528409,4822008967082.559570,27224538.329309,3302466.837025,-185.263189,55830.003389,-594.716806,-0.014352460,0.040730835,0.705374260,0.707518310,0.002172505,0.001316445,0.006252320,1.000000,0.000000,0.000000,0.000000,1,1,1,-28581.512577,428.949853,12229.928239,-23.310869,339.866853,-217.138818,-0.307439,-3.952549,-3.019071,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014352460,0.040730835,0.705374260,0.707518310
514.950000,102249.239129,4774.046533,470.491009,14.475678,5.612786,17815.910548,4822008967081.015625,27225003.579063,3302461.880842,-185.265751,55829.970451,-594.741965,-0.014348957,0.040741528,0.705392201,0.707499878,0.002166216,0.001341165,0.006237828,1.000000,0.000000,0.000000,0.000000,1,1,1,-28574.089362,453.475414,12225.969237,-24.170359,337.433660,-228.150394,-0.309687,-3.951881,-3.019374,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014348957,0.040741528,0.705392201,0.707499878
514.958333,102253.159846,4774.018541,470.514824,14.475593,5.612499,17811.293709,4822008967079.471680,27225468.828542,3302456.924450,-185.268331,55829.937519,-594.767126,-0.014345548,0.040752274,0.705410096,0.707481486,0.002159696,0.001365709,0.006222601,1.000000,0.000000,0.000000,0.000000,1,1,1,-28566.665984,477.926281,12221.976559,-25.026344,334.951137,-239.125620,-0.311928,-3.951212,-3.019681,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014345548,0.040752274,0.705410096,0.707481486
514.966667,102257.080764,4773.990555,470.538637,14.475509,5.612200,17806.677885,4822008967077.927734,27225934.077747,3302451.967847,-185.270931,55829.904592,-594.792290,-0.014342233,0.040763071,0.705427944,0.707463136,0.002152946,0.001390072,0.006206643,1.000000,0.000000,0.000000,0.000000,1,1,1,-28559.242455,502.299651,12217.950488,-25.878727,332.419703,-250.063244,-0.314162,-3.950544,-3.019990,DIRECT / RAW,1.000000,0.000000,0.000000,0,-0.014342233,0.040763071,0.705427944,0.707463136
