t_s,altitude_m,relative_speed_mps,vertical_speed_mps,mach,aoa_deg,q_pa,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps,quat_x,quat_y,quat_z,quat_w,omega_x_rps,omega_y_rps,omega_z_rps,pitch_cmd,yaw_cmd,roll_cmd,throttle,engine,sas,rcs,force_x_n,force_y_n,force_z_n,moment_x_nm,moment_y_nm,moment_z_nm,accel_x_mps2,accel_y_mps2,accel_z_mps2
0.000000,500.000000,180.011111,-2.000000,0.532770,8.636594,20808.533519,4822009011887.997070,0.000000,3200500.000000,0.000000,51310.632931,238.700722,0.049325276,-0.049325276,0.705384305,0.705384305,0.000000000,0.000000000,0.000000000,0.000000,0.000000,0.000000,1.000000,1,1,1,254751.320124,32920.494255,132417.159509,-5096.877736,118910.854891,-100059.371667,-3.538307,22.925803,11.271326
0.007047,499.986466,180.171790,-1.920503,0.533239,8.607833,20845.142586,4822009011887.997070,361.573113,3200501.682618,-0.024933,51310.794482,238.780148,0.049305267,-0.049309066,0.705371350,0.705399791,-0.001158590,0.007286367,-0.005640728,0.000000,0.000000,0.000000,1.000000,1,1,1,254649.361341,32818.354885,132282.801373,-4628.162284,111231.047989,-94981.431230,-3.527407,22.918704,11.255706
0.013792,499.974025,180.325578,-1.844515,0.535011,8.577866,20983.927778,4822009011887.997070,707.663261,3200503.293692,-0.048726,51310.949068,238.856067,0.049269053,-0.049279573,0.705347674,0.705428057,-0.002165493,0.013810304,-0.010765855,0.000000,0.000000,0.000000,1.000000,1,1,1,241029.183580,-8762.807498,59194.006643,2395.870244,155116.198744,-45976.551812,0.556042,22.596339,3.965300
0.037736,499.933652,180.868619,-1.662283,0.535258,8.473574,21003.390978,4822009011887.995117,1936.256782,3200509.016625,-0.084129,51311.493893,239.038054,0.048977316,-0.049018490,0.705182455,0.705631713,-0.002863307,0.040805009,-0.023808699,0.000000,0.000000,0.000000,1.000000,1,1,1,254154.658278,32149.869618,131545.994828,-3773.547645,74915.789162,-76960.371525,-3.448379,22.896820,11.157320
0.056964,499.905817,181.307057,-1.447550,0.536511,8.345760,21101.873108,4822009011887.992188,2922.889639,3200513.617006,-0.150434,51311.934156,239.252588,0.048597269,-0.048675132,0.704963164,0.705900825,-0.005197871,0.053332089,-0.035645625,0.000000,0.000000,0.000000,1.000000,1,1,1,253648.785817,31319.584262,130390.631851,-2677.860504,58409.095083,-63742.635991,-3.351213,22.881912,11.014815
0.076339,499.881907,181.748870,-1.233931,0.537766,8.207265,21200.729594,4822009011887.988281,3917.094487,3200518.256788,-0.215366,51312.377505,239.466006,0.048140349,-0.048268499,0.704678160,0.706244539,-0.006859698,0.063175958,-0.045522398,0.000000,0.000000,0.000000,1.000000,1,1,1,253093.544374,30324.713984,129047.544317,-1791.745577,43881.241365,-51441.471100,-3.233478,22.868034,10.848912
0.095016,499.862647,182.174772,-1.031110,0.553283,8.067422,22441.897609,4822009011887.983398,4875.465075,3200522.733086,-0.275758,51312.804612,239.668632,0.047649399,-0.047832999,0.704355067,0.706629662,-0.007921870,0.070307431,-0.053203148,0.000000,0.000000,0.000000,1.000000,1,1,1,248832.303517,-76815.483124,-66524.257450,15049.239019,175446.723218,68139.515387,7.315779,25.020249,-8.254707
0.115592,499.842818,182.667114,-1.006011,0.558778,7.963165,22889.931007,4822009011887.978516,5931.292199,3200527.665928,-0.232441,51313.297162,239.693513,0.047046893,-0.047259593,0.704000921,0.707061401,-0.003270904,0.088851144,-0.050929559,0.000000,0.000000,0.000000,1.000000,1,1,1,252219.984814,-70142.544160,-107541.504211,12486.709889,182202.452671,64020.465724,6.692143,25.870192,-12.242752
0.135671,499.823515,183.156316,-1.022730,0.569454,7.855088,23772.941079,4822009011887.973633,6961.586224,3200532.479474,-0.195355,51313.786320,239.676582,0.046366709,-0.046557186,0.703680419,0.707471855,-0.000054788,0.105553315,-0.048872831,0.000000,0.000000,0.000000,1.000000,1,1,1,265071.560631,-74666.628631,-170707.113490,12200.728070,205010.845759,73342.522502,7.173027,27.898839,-18.276611
0.157253,499.801745,183.704467,-1.107229,0.543423,7.739190,21649.240148,4822009011887.968750,8069.045298,3200537.652457,-0.149101,51314.334024,239.591851,0.045531692,-0.045656149,0.703364504,0.707898831,0.002942587,0.123629171,-0.045656498,0.000000,0.000000,0.000000,1.000000,1,1,1,251241.742146,26564.946783,125148.768198,-4692.238535,-36133.122632,-34365.395136,-2.765048,22.863915,10.277589
0.176724,499.784085,184.148577,-0.906904,0.574132,7.544714,24165.240134,4822009011887.964844,9068.191299,3200542.321427,-0.202939,51314.779205,239.791965,0.044749891,-0.044823448,0.703064483,0.708299822,0.000030872,0.117509249,-0.051014265,0.000000,0.000000,0.000000,1.000000,1,1,1,269013.030403,-74566.994089,-188234.996293,12162.509902,188667.468172,82969.232876,7.219141,28.418769,-20.068932
0.197252,499.765459,184.675386,-1.010177,0.611149,7.431617,27381.842192,4822009011887.960938,10121.619858,3200547.244011,-0.155666,51315.305518,239.688469,0.043895668,-0.043903180,0.702759571,0.708713388,0.002972832,0.130912287,-0.046242160,0.000000,0.000000,0.000000,1.000000,1,1,1,336576.011641,-105574.828174,-352392.204698,17082.297140,270878.136719,135146.910949,10.356998,36.875855,-35.324579
0.225739,499.733510,185.528605,-1.372963,0.604822,7.312342,26817.872509,4822009011887.957031,11583.450786,3200554.068816,-0.043643,51316.156436,239.325367,0.042564740,-0.042409342,0.702431663,0.709210441,0.008864616,0.157293684,-0.033638685,0.000000,0.000000,0.000000,1.000000,1,1,1,318608.147498,-52956.630394,-336581.803219,5943.541973,220399.536281,61181.418781,5.201926,34.866060,-34.137719
0.248728,499.699999,186.194707,-1.653777,0.609856,7.187242,27266.182604,4822009011887.956055,12763.146156,3200559.568611,-0.010851,51316.820258,239.044296,0.041358234,-0.041034794,0.702238278,0.709554115,0.008678691,0.170108145,-0.030763340,0.000000,0.000000,0.000000,1.000000,1,1,1,326550.840773,-45082.676502,-355938.952452,4672.660995,212777.350601,52589.091957,4.454080,35.753063,-36.063893
0.270830,499.661366,186.845755,-1.947072,0.552705,7.059900,22395.284046,4822009011887.956055,13897.375399,3200564.849954,0.013896,51317.468484,238.750751,0.040110669,-0.039631944,0.702075172,0.709866816,0.008104190,0.180121425,-0.028639294,0.000000,0.000000,0.000000,1.000000,1,1,1,248604.272643,20812.014786,119281.082118,-5976.312063,-112686.486097,-27865.546639,-2.081372,22.922073,9.306271
0.289778,499.627817,187.278286,-1.770524,0.620662,6.829024,28241.137150,4822009011887.956055,14869.735547,3200569.377091,-0.025541,51317.902806,238.927084,0.039078576,-0.038503119,0.701916251,0.710143613,0.004482887,0.161551236,-0.032881802,0.000000,0.000000,0.000000,1.000000,1,1,1,347108.279365,-62205.570072,-392797.180969,9134.852575,222541.174836,84682.658551,6.190226,37.903756,-39.690791
0.314954,499.579781,188.047998,-2.157650,0.609207,6.712312,27208.348034,4822009011887.955078,16161.739610,3200575.388908,0.027917,51318.668468,238.539668,0.037710933,-0.037009061,0.701723609,0.710487291,0.006357465,0.173178812,-0.026222384,0.000000,0.000000,0.000000,1.000000,1,1,1,319375.775606,-35531.467382,-345492.396920,3742.048811,191697.452837,42664.759721,3.556910,34.612992,-35.503889
0.335798,499.532853,188.651189,-2.436349,0.611212,6.590615,27387.880740,4822009011887.955078,17231.413621,3200580.358973,0.046166,51319.268279,238.260727,0.036510345,-0.035694445,0.701597339,0.710741919,0.005932326,0.179593163,-0.024470160,0.000000,0.000000,0.000000,1.000000,1,1,1,321656.466229,-31585.986834,-351702.072526,3230.247390,190454.697070,37959.917608,3.183754,34.790592,-36.210777
0.356006,499.481667,189.238460,-2.715714,0.559781,6.467853,22972.718921,4822009011887.956055,18268.503582,3200585.171894,0.061327,51319.851768,237.981124,0.035299584,-0.034379125,0.701486718,0.710977074,0.005455127,0.185389334,-0.023053025,0.000000,0.000000,0.000000,1.000000,1,1,1,246430.418714,16158.378600,112866.122150,-4456.420209,-127919.148546,-18683.742057,-1.562342,22.972268,8.331905
