frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
867,242.4188,72.4667,82.6052,18.7852,,false,10,0.008333,2.5057,0.0833,1.00,1.00,3.8036,22,1,40,0,53760,191,191,0,0,840949760,18.7852,0.0589,2.5057,11.1708,0.0000,0.0000
868,242.4853,72.5417,76.4739,8.8628,,false,9,0.008333,2.6479,0.0750,1.00,0.98,5.2775,22,1,40,0,53760,191,191,0,0,840949760,8.8628,0.0826,2.6479,0.9042,0.0000,0.0000
869,242.5683,72.6250,82.4388,9.6010,,false,10,0.008333,3.0866,0.0833,1.00,1.00,4.3830,22,1,40,0,53760,191,191,0,0,840949760,9.6010,0.1173,3.0866,1.0926,0.0000,0.0000
870,242.6596,72.7167,91.6349,9.0736,,false,11,0.008333,3.0360,0.0917,1.00,1.00,4.3512,22,1,40,0,53760,191,191,0,0,840949760,9.0736,0.0690,3.0360,0.9880,0.0000,0.0000
871,242.7460,72.8000,83.1966,12.3380,,false,10,0.008333,3.4530,0.0833,1.00,1.00,4.2144,22,1,40,0,53760,191,191,0,0,840949760,12.3380,0.1277,3.4530,1.1692,0.0000,0.0000
872,242.8426,72.8833,83.4923,25.4001,,false,10,0.008333,3.4259,0.0833,1.00,1.00,4.3734,22,1,40,0,53760,191,191,0,0,840949760,25.4001,0.0663,3.4259,16.2054,0.0000,0.0000
873,242.9013,72.9583,74.2843,9.8612,,false,9,0.008333,2.0911,0.0750,1.00,1.00,3.6577,22,1,40,0,53760,191,191,0,0,840949760,9.8612,0.0767,2.0911,0.9351,0.0000,0.0000
874,242.9861,73.0417,83.9324,10.6823,,false,10,0.008333,3.3560,0.0833,1.00,0.99,4.2568,22,1,40,0,53760,191,191,0,0,840949760,10.6823,0.0700,3.3560,1.1302,0.0000,0.0000
875,243.0621,73.1167,76.5856,10.0736,,false,9,0.008333,3.3153,0.0750,1.00,0.98,5.8424,22,1,40,0,53760,191,191,0,0,840949760,10.0736,0.0802,3.3153,1.1741,0.0000,0.0000
876,243.1363,73.1917,72.7870,11.4304,,false,9,0.008333,2.8789,0.0750,1.00,1.00,3.6294,22,1,40,0,53760,191,191,0,0,840949760,11.4304,0.0923,2.8789,1.1543,0.0000,0.0000
877,243.2320,73.2750,83.3929,23.9583,,false,10,0.008333,3.2744,0.0833,1.00,1.00,3.6889,22,1,40,0,53760,191,191,0,0,840949760,23.9583,0.0704,3.2744,15.4492,0.0000,0.0000
878,243.2926,73.3500,74.6298,9.7403,,false,9,0.008333,3.1393,0.0750,1.00,1.00,3.3187,22,1,40,0,53760,191,191,0,0,840949760,9.7403,0.0744,3.1393,1.1366,0.0000,0.0000
879,243.3683,73.4250,74.5405,10.7165,,false,9,0.008333,3.7027,0.0750,1.00,1.00,2.8592,22,1,40,0,53760,191,191,0,0,840953856,10.7165,0.0743,3.7027,1.2000,0.0000,0.0000
880,243.4518,73.5083,84.2975,10.2008,,false,10,0.008333,3.2885,0.0833,1.00,0.99,3.8234,22,1,40,0,53760,191,191,0,0,840953856,10.2008,0.0661,3.2885,1.1516,0.0000,0.0000
881,243.5260,73.5833,74.4108,9.9541,,false,9,0.008333,3.1179,0.0750,1.00,1.00,3.2342,22,1,40,0,53760,191,191,0,0,840953856,9.9541,0.0731,3.1179,1.2878,0.0000,0.0000
882,243.6376,73.6667,84.4417,36.8262,,false,10,0.008333,4.3170,0.0833,1.00,0.99,4.3426,22,1,40,0,53760,191,191,0,0,840953856,36.8262,0.0808,4.3170,19.2688,0.0000,0.0000
883,243.7247,73.7667,99.3245,22.2679,,false,12,0.008333,3.7405,0.1000,1.00,1.00,3.6671,22,1,40,0,53760,191,191,0,0,840953856,22.2679,0.0637,3.7405,0.9070,0.0000,0.0000
884,243.8089,73.8583,91.6951,16.7904,,false,11,0.008333,2.2575,0.0917,1.00,1.00,3.6955,22,1,40,0,53760,191,191,0,0,840953856,16.7904,0.0933,2.2575,0.9191,0.0000,0.0000
885,243.8893,73.9417,82.6684,14.6453,,false,10,0.008333,2.5213,0.0833,1.00,1.00,3.0306,22,1,40,0,53760,191,191,0,0,840953856,14.6453,0.1012,2.5213,0.8505,0.0000,0.0000
886,243.9847,74.0333,91.8048,18.8455,,false,11,0.008333,2.2538,0.0917,1.00,1.00,3.1687,22,1,40,0,53760,191,191,0,0,840953856,18.8455,0.0786,2.2538,10.1996,0.0000,0.0000
887,244.0726,74.1250,94.2674,12.4847,,false,11,0.008333,2.4323,0.0917,1.00,0.97,5.7695,22,1,40,0,53760,191,191,0,0,840953856,12.4847,0.1002,2.4323,0.8509,0.0000,0.0000
888,244.1605,74.2167,91.0884,9.3537,,false,11,0.008333,2.5364,0.0917,1.00,1.00,5.1912,22,1,40,0,53760,191,191,0,0,840953856,9.3537,0.0828,2.5364,0.8151,0.0000,0.0000
889,244.2524,74.3083,92.5736,8.6300,,false,11,0.008333,2.9010,0.0917,1.00,0.99,6.0981,22,1,40,0,53760,191,191,0,0,840953856,8.6300,0.0739,2.9010,0.7462,0.0000,0.0000
890,244.3516,74.3917,81.6721,25.9174,,false,10,0.008333,3.1418,0.0833,1.00,1.00,4.4369,22,1,40,0,53760,191,191,0,0,840953856,25.9174,0.0639,3.1418,16.1917,0.0000,0.0000
891,244.4206,74.4750,82.6884,12.2700,,false,10,0.008333,3.3100,0.0833,1.00,1.00,3.7919,22,1,40,0,53760,191,191,0,0,840953856,12.2700,0.0885,3.3100,1.2618,0.0000,0.0000
892,244.5065,74.5583,82.8349,15.3097,,false,10,0.008333,6.8980,0.0833,1.00,1.00,3.2935,22,1,40,0,53760,191,191,0,0,840957952,15.3097,0.1117,6.8980,1.4559,0.0000,0.0000
893,244.5801,74.6333,76.4694,12.4286,,false,9,0.008333,3.1854,0.0750,1.00,0.98,4.7629,22,1,40,0,53760,191,191,0,0,840957952,12.4286,0.0991,3.1854,1.6247,0.0000,0.0000
894,244.6804,74.7333,99.0247,13.5614,,false,12,0.008333,4.9713,0.1000,1.00,1.00,3.7877,22,1,40,0,53760,191,191,0,0,840957952,13.5614,0.1063,4.9713,1.3915,0.0000,0.0000
895,244.7704,74.8167,83.1433,20.4631,,false,10,0.008333,3.2946,0.0833,1.00,1.00,3.5977,22,1,40,0,53760,191,191,0,0,840957952,20.4631,0.0517,3.2946,12.3782,0.0000,0.0000
896,244.8472,74.9000,83.3874,14.0534,,false,10,0.008333,5.2703,0.0833,1.00,1.00,3.6517,22,1,40,0,53760,191,191,0,0,840957952,14.0534,0.0940,5.2703,1.2622,0.0000,0.0000
897,244.9284,74.9833,83.2576,11.8807,,false,10,0.008333,3.8533,0.0833,1.00,1.00,3.5760,22,1,40,0,53760,191,191,0,0,840957952,11.8807,0.0973,3.8533,1.3992,0.0000,0.0000
898,245.0155,75.0667,83.5373,15.1250,,false,10,0.008333,4.5612,0.0833,1.00,1.00,3.7800,22,1,40,0,53760,191,191,0,0,840957952,15.1250,0.1116,4.5612,1.5171,0.0000,0.0000
899,245.1234,75.1583,88.9671,26.9814,,false,11,0.008333,4.0682,0.0917,1.00,1.00,1.0804,22,1,40,0,53760,191,191,0,0,840957952,26.9814,0.0985,4.0682,0.9957,0.0000,0.0000
900,245.1968,75.2417,86.1644,21.4335,,false,10,0.008333,2.0821,0.0833,1.00,0.97,3.9114,22,1,40,0,53760,191,191,0,0,829218816,21.4335,0.0894,2.0821,12.0000,0.0000,0.0000
901,245.2798,75.3333,91.0576,12.2135,,false,11,0.008333,3.0978,0.0917,1.00,1.00,3.3024,22,1,40,0,53760,191,191,0,0,829218816,12.2135,0.1086,3.0978,0.9281,0.0000,0.0000
902,245.3635,75.4167,83.7130,13.0451,,false,10,0.008333,4.3910,0.0833,1.00,1.00,3.6821,22,1,40,0,53760,191,191,0,0,829218816,13.0451,0.0779,4.3910,1.1367,0.0000,0.0000
903,245.4483,75.5000,83.1275,15.0327,,false,10,0.008333,5.9638,0.0833,1.00,1.00,3.4762,22,1,40,0,53760,191,191,0,0,829218816,15.0327,0.0779,5.9638,1.3272,0.0000,0.0000
