frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms
18359,273.2004,2870.7333,9.0245,2.4451,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,2.4451,0.0263,0.0000,0.4955
18360,273.2068,2870.7333,29.9892,4.1162,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.1162,0.0462,0.0000,0.7319
18361,273.2161,2870.7333,9.4645,3.8378,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,3.8378,0.0442,0.0000,0.8035
18362,273.2318,2870.7333,16.3159,3.7080,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,3.7080,0.0362,0.0000,0.9967
18363,273.2413,2870.7333,8.4904,4.4806,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.4806,0.0388,0.0000,0.8422
18364,273.2511,2870.7333,8.9164,5.0891,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.0891,0.0451,0.0000,0.9861
18365,273.2649,2870.7333,15.7439,3.6582,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,3.6582,0.0274,0.0000,0.8627
18366,273.2742,2870.7333,8.4684,3.9866,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,3.9866,0.0475,0.0000,0.6837
18367,273.2842,2870.7333,8.6305,5.6249,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.6249,0.0488,0.0000,0.9342
18368,273.2934,2870.7333,8.7062,5.8169,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.8169,0.0325,0.0000,1.2186
18369,273.3073,2870.7333,16.4921,3.5881,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,3.5881,0.0305,0.0000,0.7602
18370,273.3168,2870.7333,8.1171,4.8024,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.8024,0.0417,0.0000,0.9085
18371,273.3257,2870.7333,9.6405,4.0674,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.0674,0.0400,0.0000,0.6167
18372,273.3396,2870.7333,14.8280,3.4195,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,3.4195,0.0272,0.0000,0.8399
18373,273.3493,2870.7333,8.7006,4.1816,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.1816,0.0425,0.0000,0.9798
18374,273.3587,2870.7333,8.5528,5.0947,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.0947,0.0448,0.0000,0.9057
18375,273.3677,2870.7333,8.2270,5.6245,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.6245,0.0400,0.0000,1.2610
18376,273.3845,2870.7333,17.1447,5.3716,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.3716,0.0405,0.0000,1.3232
18377,273.3957,2870.7333,7.9915,5.1062,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.1062,0.0641,0.0000,1.1303
18378,273.4074,2870.7333,16.2275,4.1911,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.1911,0.0416,0.0000,1.0261
18379,273.4168,2870.7333,8.8208,4.7096,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.7096,0.0596,0.0000,0.8165
18380,273.4260,2870.7333,8.3840,5.4261,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.4261,0.0294,0.0000,1.1295
18381,273.4422,2870.7333,16.4085,5.3670,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.3670,0.0417,0.0000,1.4664
18382,273.4519,2870.7333,8.6963,6.2289,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,6.2289,0.0602,0.0000,1.3895
18383,273.4684,2870.7333,16.5619,6.2299,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,6.2299,0.0435,0.0000,1.7259
18384,273.4786,2870.7333,8.9073,7.2828,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,7.2828,0.0820,0.0000,1.6822
18385,273.4947,2870.7333,16.1876,6.9865,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,6.9865,0.0477,0.0000,1.7425
18386,273.5039,2870.7333,10.6652,5.8123,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.8123,0.0362,0.0000,1.2611
18387,273.5157,2870.7333,13.2243,4.4903,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.4903,0.0394,0.0000,1.1597
18388,273.5472,2870.7333,9.3350,26.8025,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,26.8025,0.0309,0.0000,23.2990
18389,273.5507,2870.7333,7.8436,2.8662,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,2.8662,0.0230,0.0000,0.7702
18390,273.5572,2870.7333,24.5151,4.4173,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,4.4173,0.0456,0.0000,0.8882
18391,273.5748,2870.7333,17.0762,5.0144,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.0144,0.0387,0.0000,1.2871
18392,273.5840,2870.7333,8.8546,5.2973,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.2973,0.0305,0.0000,1.0127
18393,273.6004,2870.7333,16.3575,5.3093,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,5.3093,0.0338,0.0000,1.1281
18394,273.6103,2870.7333,9.0928,6.0342,,false,0,0.008333,0.0000,0.0000,256.00,0.00,1240.9578,22,1,277,0,638208,33859,320,0,0,915378176,6.0342,0.0514,0.0000,0.9576
