frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
1597,13.5919,13.1583,8.7502,4.2953,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936632320,0.000000,0.165257,13.166727,1.00,4.2953,0.0419,0.0000,0.0678,0.0000,0.0000,0.0000
1598,13.6012,13.1583,8.6264,4.7136,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936632320,0.000000,0.165257,13.166727,1.00,4.7136,0.0859,0.0000,0.0941,0.0000,0.0000,0.0000
1599,13.6102,13.1583,8.7749,4.9500,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936632320,0.000000,0.165257,13.166727,1.00,4.9500,0.0621,0.0000,0.0518,0.0000,0.0000,0.0000
1600,13.6178,13.1583,8.5021,4.0750,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936632320,0.000000,0.165257,13.166727,1.00,4.0750,0.0402,0.0000,0.0860,0.0000,0.0000,0.0000
1601,13.6260,13.1583,8.4846,3.8224,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936632320,0.000000,0.165257,13.166727,1.00,3.8224,0.0458,0.0000,0.0972,0.0000,0.0000,0.0000
1602,13.6355,13.1583,8.2470,5.0152,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.165257,13.166727,1.00,5.0152,0.0339,0.0000,0.0828,0.0000,0.0000,0.0000
1603,13.6428,13.1583,8.4706,3.8626,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.165257,13.166727,1.00,3.8626,0.0547,0.0000,0.0383,0.0000,0.0000,0.0000
1604,13.6520,13.4917,8.9820,4.1226,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.167748,13.500047,1.00,4.1226,0.0858,0.0000,0.1374,0.0000,0.0000,0.0000
1605,13.6604,13.4917,8.4507,4.0034,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.167748,13.500047,1.00,4.0034,0.0635,0.0000,0.1302,0.0000,0.0000,0.0000
1606,13.6712,13.4917,8.8202,5.1067,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.167748,13.500047,1.00,5.1067,0.0555,0.0000,0.0650,0.0000,0.0000,0.0000
1607,13.6788,13.4917,8.8405,4.7499,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.167748,13.500047,1.00,4.7499,0.1005,0.0000,0.0349,0.0000,0.0000,0.0000
1608,13.6891,13.4917,9.8494,5.2121,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936636416,0.000000,0.167748,13.500047,1.00,5.2121,0.0551,0.0000,0.0616,0.0000,0.0000,0.0000
1609,13.6969,13.4917,7.9069,5.2474,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,936689664,0.000000,0.167748,13.500047,1.00,5.2474,0.0607,0.0000,0.0535,0.0000,0.0000,0.0000
1610,13.7067,13.4917,10.0361,5.0386,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,937467904,0.000000,0.167748,13.500047,1.00,5.0386,0.0674,0.0000,0.0535,0.0000,0.0000,0.0000
1611,13.7144,13.4917,7.9606,4.5785,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,937508864,0.000000,0.167748,13.500047,1.00,4.5785,0.0798,0.0000,0.0396,0.0000,0.0000,0.0000
1612,13.7227,13.4917,8.6564,4.0937,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,937545728,0.000000,0.167748,13.500047,1.00,4.0937,0.0485,0.0000,0.0379,0.0000,0.0000,0.0000
1613,13.7346,13.4917,11.3575,4.9280,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,938418176,0.000000,0.167748,13.500047,1.00,4.9280,0.0426,0.0000,0.0824,0.0000,0.0000,0.0000
1614,13.7421,13.4917,7.4125,4.9528,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,938426368,0.000000,0.167748,13.500047,1.00,4.9528,0.0811,0.0000,0.1145,0.0000,0.0000,0.0000
1615,13.7508,13.4917,9.0184,4.8725,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,938426368,0.000000,0.167748,13.500047,1.00,4.8725,0.0532,0.0000,0.1123,0.0000,0.0000,0.0000
1616,13.7596,13.5917,8.6897,4.7877,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,938434560,0.000000,0.168354,13.600050,1.00,4.7877,0.0411,0.0000,0.1225,0.0000,0.0000,0.0000
1617,13.7683,13.5917,9.6175,3.8226,,false,1,0.008333,0.0000,0.0083,1.00,1.00,0.0000,22,1,0,0,0,0,0,0,0,938434560,0.000000,0.168354,13.600050,1.00,3.8226,0.0408,0.0000,0.0900,0.0000,0.0000,0.0000
