frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
581,6.1330,5.8333,14.4413,4.5325,,false,1,0.008333,0.1786,0.0083,1.00,0.58,7.8110,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.5325,0.0323,0.1786,1.8494,0.0961,0.0000,0.0000,0.0000
582,6.1494,5.8583,17.9547,4.5961,,false,3,0.008333,0.1308,0.0250,1.00,1.00,0.7657,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.5961,0.0416,0.1308,1.9870,0.1033,0.0000,0.0000,0.0000
583,6.1662,5.8750,16.8167,4.7512,,false,2,0.008333,0.2644,0.0167,1.00,0.99,0.9157,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.7512,0.0414,0.2644,1.7118,0.1517,0.0000,0.0000,0.0000
584,6.1824,5.8917,16.4715,4.2055,,false,2,0.008333,0.1526,0.0167,1.00,1.00,0.7205,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.2055,0.0410,0.1526,1.9207,0.1357,0.0000,0.0000,0.0000
585,6.1983,5.9083,16.7527,3.4590,,false,2,0.008333,0.1670,0.0167,1.00,0.99,0.8066,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,3.4590,0.0331,0.1670,2.0374,0.0835,0.0000,0.0000,0.0000
586,6.2155,5.9250,16.1836,3.9781,,false,2,0.008333,0.1190,0.0167,1.00,1.00,0.3235,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,3.9781,0.0311,0.1190,2.5032,0.1405,0.0000,0.0000,0.0000
587,6.2324,5.9417,16.5668,4.2453,,false,2,0.008333,0.1607,0.0167,1.00,1.00,0.2236,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.2453,0.0319,0.1607,2.3823,0.1471,0.0000,0.0000,0.0000
588,6.2491,5.9500,16.4081,4.2859,,false,1,0.008333,0.1738,0.0083,1.00,0.51,8.2984,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.2859,0.0361,0.1738,2.0937,0.1012,0.0000,0.0000,0.0000
589,6.2660,5.9750,16.9437,3.5982,,false,3,0.008333,0.1436,0.0250,1.00,1.00,0.2422,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,3.5982,0.0306,0.1436,2.0619,0.0891,0.0000,0.0000,0.0000
590,6.2825,5.9917,16.5883,4.0316,,false,2,0.008333,0.1166,0.0167,1.00,1.00,0.1638,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.0316,0.0459,0.1166,2.6914,0.0788,0.0000,0.0000,0.0000
591,6.2991,6.0083,17.2918,4.2765,,false,2,0.008333,0.2055,0.0167,1.00,0.96,0.7890,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,4.2765,0.0469,0.2055,2.4009,0.1057,0.0000,0.0000,0.0000
592,6.3105,6.0250,17.1397,5.6777,,false,2,0.008333,0.2224,0.0167,1.00,0.97,1.2621,22,1,0,0,0,0,0,0,0,876937216,0.000000,0.000000,0.000000,0.00,5.6777,0.0544,0.2224,2.2924,0.1017,0.0000,0.0000,0.0000
593,6.3172,6.0417,16.6958,5.4613,,false,2,0.008333,0.3847,0.0167,1.00,1.00,1.2912,22,1,0,0,0,0,0,0,0,876941312,0.000000,0.000000,0.000000,0.00,5.4613,0.0455,0.3847,2.1208,0.0947,0.0000,0.0000,0.0000
594,6.3249,6.0500,14.2242,5.6248,,false,1,0.008333,0.2705,0.0083,1.00,0.59,7.1821,22,1,0,0,0,0,0,0,0,876941312,0.000000,0.000000,0.000000,0.00,5.6248,0.0630,0.2705,2.3642,0.2018,0.0000,0.0000,0.0000
595,6.3374,6.0667,12.9772,5.2246,,false,2,0.008333,0.2647,0.0167,1.00,1.00,3.4926,22,1,0,0,0,0,0,0,0,877305856,0.000000,0.000000,0.000000,0.00,5.2246,0.0639,0.2647,2.2575,0.1252,0.0000,0.0000,0.0000
596,6.3463,6.0750,8.7655,5.4248,,false,1,0.008333,0.2227,0.0083,1.00,0.95,3.9248,22,1,0,0,0,0,0,0,0,877338624,0.000000,0.000000,0.000000,0.00,5.4248,0.0800,0.2227,2.2096,0.1387,0.0000,0.0000,0.0000
597,6.3573,6.0833,11.9807,4.3107,,false,1,0.008333,0.1529,0.0083,1.00,0.70,7.5722,22,1,0,0,0,0,0,0,0,878149632,0.000000,0.000000,0.000000,0.00,4.3107,0.0459,0.1529,2.3344,0.1126,0.0000,0.0000,0.0000
598,6.3644,6.0917,6.8164,4.7829,,false,1,0.008333,0.2508,0.0083,1.00,1.00,6.0552,22,1,0,0,0,0,0,0,0,878149632,0.000000,0.000000,0.000000,0.00,4.7829,0.0452,0.2508,2.2106,0.1272,0.0000,0.0000,0.0000
599,6.3706,6.1000,7.0075,4.1216,,false,1,0.008333,0.1432,0.0083,1.00,1.00,4.7294,22,1,0,0,0,0,0,0,0,878223360,0.000000,0.000000,0.000000,0.00,4.1216,0.0705,0.1432,2.1210,0.0528,0.0000,0.0000,0.0000
600,6.3835,6.1167,13.8264,3.3561,,false,2,0.008333,0.1493,0.0167,1.00,1.00,1.8891,22,1,0,0,0,0,0,0,0,878817280,0.000000,0.000000,0.000000,0.00,3.3561,0.0466,0.1493,2.1354,0.0465,0.0000,0.0000,0.0000
601,6.3930,6.1250,7.3806,5.5368,,false,1,0.008333,0.1632,0.0083,1.00,1.00,0.9363,22,1,0,0,0,0,0,0,0,879144960,0.000000,0.000000,0.000000,0.00,5.5368,0.0810,0.1632,2.1202,0.1412,0.0000,0.0000,0.0000
602,6.3999,6.1250,7.2678,5.0519,,false,0,0.008333,0.0129,0.0000,1.00,0.00,8.2041,22,1,0,0,0,0,0,0,0,879144960,0.000000,0.000000,0.000000,0.00,5.0519,0.0493,0.0129,3.0366,0.1395,0.0000,0.0000,0.0000
603,6.4123,6.1417,13.1661,4.1698,,false,2,0.008333,0.3522,0.0167,1.00,1.00,4.7036,22,1,0,0,0,0,0,0,0,879144960,0.000000,0.000000,0.000000,0.00,4.1698,0.0282,0.3522,2.3625,0.0654,0.0000,0.0000,0.0000
604,6.4199,6.1500,7.1355,4.8677,,false,1,0.008333,0.1762,0.0083,1.00,1.00,3.5057,22,1,0,0,0,0,0,0,0,879144960,0.000000,0.000000,0.000000,0.00,4.8677,0.0290,0.1762,0.0000,0.1228,0.0000,0.0000,0.0000
605,6.4269,6.1583,6.7042,4.9599,,false,1,0.008333,0.1226,0.0083,1.00,1.00,1.8765,22,1,0,0,0,0,0,0,0,879149056,0.000000,0.000000,0.000000,0.00,4.9599,0.0252,0.1226,2.8267,0.2225,0.0000,0.0000,0.0000
606,6.4401,6.1667,13.8491,4.5792,,false,1,0.008333,0.1182,0.0083,1.00,0.60,7.3923,22,1,0,0,0,0,0,0,0,879149056,0.000000,0.000000,0.000000,0.00,4.5792,0.0389,0.1182,2.2338,0.1178,0.0000,0.0000,0.0000
607,6.4468,6.1750,7.0549,4.1354,,false,1,0.008333,0.1074,0.0083,1.00,1.00,6.1139,22,1,0,0,0,0,0,0,0,879149056,0.000000,0.000000,0.000000,0.00,4.1354,0.0530,0.1074,2.2250,0.0997,0.0000,0.0000,0.0000
608,6.4545,6.1833,7.1727,4.8025,,false,1,0.008333,0.2150,0.0083,1.00,1.00,4.9533,22,1,0,0,0,0,0,0,0,879149056,0.000000,0.000000,0.000000,0.00,4.8025,0.0598,0.2150,2.4455,0.1314,0.0000,0.0000,0.0000
609,6.4616,6.1917,6.6188,4.9754,,false,1,0.008333,0.1102,0.0083,1.00,1.00,3.2388,22,1,0,0,0,0,0,0,0,879149056,0.000000,0.000000,0.000000,0.00,4.9754,0.0738,0.1102,2.3125,0.1441,0.0000,0.0000,0.0000
610,6.4686,6.2000,6.9962,4.9094,,false,1,0.008333,0.1830,0.0083,1.00,1.00,1.9017,22,1,0,0,0,0,0,0,0,879149056,0.000000,0.000000,0.000000,0.00,4.9094,0.0548,0.1830,2.5632,0.1253,0.0000,0.0000,0.0000
611,6.4759,6.2083,7.1854,4.8447,,false,1,0.008333,0.0843,0.0083,1.00,1.00,0.7537,22,1,0,0,0,0,0,0,0,879161344,0.000000,0.000000,0.000000,0.00,4.8447,0.0479,0.0843,2.0412,0.1728,0.0000,0.0000,0.0000
612,6.4835,6.2167,7.8039,4.7241,,false,1,0.008333,0.0710,0.0083,1.00,1.00,0.2243,22,1,0,0,0,0,0,0,0,879161344,0.000000,0.000000,0.000000,0.00,4.7241,0.0505,0.0710,2.5158,0.2163,0.0000,0.0000,0.0000
613,6.4920,6.2250,8.1821,4.9657,,false,1,0.008333,0.1317,0.0083,1.00,1.00,0.0731,22,1,0,0,0,0,0,0,0,879161344,0.000000,0.000000,0.000000,0.00,4.9657,0.0630,0.1317,2.6170,0.0980,0.0000,0.0000,0.0000
614,6.5038,6.2333,11.5599,5.4900,,false,1,0.008333,0.2507,0.0083,1.00,0.72,3.2996,22,1,0,0,0,0,0,0,0,879161344,0.000000,0.000000,0.000000,0.00,5.4900,0.0554,0.2507,2.6193,0.1677,0.0000,0.0000,0.0000
615,6.5101,6.2417,6.9544,4.8482,,false,1,0.008333,0.1851,0.0083,1.00,1.00,1.9207,22,1,0,0,0,0,0,0,0,879161344,0.000000,0.000000,0.000000,0.00,4.8482,0.0774,0.1851,2.8236,0.1220,0.0000,0.0000,0.0000
616,6.5175,6.2500,6.9034,5.1796,,false,1,0.008333,0.2799,0.0083,1.00,1.00,0.4907,22,1,0,0,0,0,0,0,0,879161344,0.000000,0.000000,0.000000,0.00,5.1796,0.0721,0.2799,2.2223,0.1395,0.0000,0.0000,0.0000
617,6.5298,6.2583,14.0112,3.5791,,false,1,0.008333,0.0850,0.0083,1.00,0.59,6.1686,22,1,0,0,0,0,0,0,0,879165440,0.000000,0.000000,0.000000,0.00,3.5791,0.0311,0.0850,2.1414,0.0822,0.0000,0.0000,0.0000
618,6.5377,6.2667,6.9937,4.7270,,false,1,0.008333,0.1210,0.0083,1.00,1.00,4.8290,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.7270,0.0490,0.1210,2.1509,0.1303,0.0000,0.0000,0.0000
619,6.5445,6.2750,6.7292,4.4196,,false,1,0.008333,0.1722,0.0083,1.00,1.00,3.2249,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.4196,0.0288,0.1722,2.6259,0.1045,0.0000,0.0000,0.0000
620,6.5511,6.2833,7.0943,4.1772,,false,1,0.008333,0.1807,0.0083,1.00,1.00,1.9858,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.1772,0.0278,0.1807,2.2665,0.0689,0.0000,0.0000,0.0000
621,6.5641,6.2917,13.7996,3.4855,,false,1,0.008333,0.0850,0.0083,1.00,0.60,7.4521,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,3.4855,0.0405,0.0850,2.3713,0.0689,0.0000,0.0000,0.0000
622,6.5728,6.3000,7.1060,4.9015,,false,1,0.008333,0.1161,0.0083,1.00,1.00,6.2248,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.9015,0.0765,0.1161,2.5431,0.1971,0.0000,0.0000,0.0000
623,6.5795,6.3083,6.7007,4.7167,,false,1,0.008333,0.1579,0.0083,1.00,1.00,4.5921,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.7167,0.0672,0.1579,2.2529,0.0923,0.0000,0.0000,0.0000
624,6.5868,6.3167,7.1885,5.0679,,false,1,0.008333,0.1278,0.0083,1.00,1.00,3.4473,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,5.0679,0.0461,0.1278,2.3419,0.1316,0.0000,0.0000,0.0000
625,6.6004,6.3333,13.7867,4.7847,,false,2,0.008333,0.2214,0.0167,1.00,1.00,0.5673,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.7847,0.0430,0.2214,2.3158,0.1291,0.0000,0.0000,0.0000
626,6.6074,6.3333,6.9337,4.9485,,false,0,0.008333,0.0179,0.0000,1.00,0.00,7.5011,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.9485,0.0622,0.0179,2.3559,0.0913,0.0000,0.0000,0.0000
627,6.6143,6.3417,6.8830,4.7949,,false,1,0.008333,0.1381,0.0083,1.00,1.00,6.0507,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.7949,0.0463,0.1381,2.3434,0.0862,0.0000,0.0000,0.0000
628,6.6211,6.3500,7.1133,4.2267,,false,1,0.008333,0.2350,0.0083,1.00,1.00,4.8307,22,1,0,0,0,0,0,0,0,879185920,0.000000,0.000000,0.000000,0.00,4.2267,0.0480,0.2350,0.0000,0.0653,0.0000,0.0000,0.0000
629,6.6348,6.3667,13.7566,4.4717,,false,2,0.008333,0.1120,0.0167,1.00,1.00,1.9206,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.4717,0.0436,0.1120,2.1948,0.1089,0.0000,0.0000,0.0000
630,6.6419,6.3750,6.8846,4.7002,,false,1,0.008333,0.1274,0.0083,1.00,1.00,0.4719,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.7002,0.0702,0.1274,2.2414,0.1579,0.0000,0.0000,0.0000
631,6.6489,6.3750,7.1182,4.7700,,false,0,0.008333,0.0198,0.0000,1.00,0.00,7.5901,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.7700,0.0875,0.0198,2.2840,0.1191,0.0000,0.0000,0.0000
632,6.6560,6.3833,6.8349,4.9287,,false,1,0.008333,0.1118,0.0083,1.00,1.00,6.0916,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.9287,0.0547,0.1118,2.5900,0.1279,0.0000,0.0000,0.0000
633,6.6633,6.3917,7.0556,4.8619,,false,1,0.008333,0.4262,0.0083,1.00,1.00,4.8139,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.8619,0.0572,0.4262,0.0000,0.0757,0.0000,0.0000,0.0000
634,6.6712,6.4000,7.9257,4.8612,,false,1,0.008333,0.2754,0.0083,1.00,1.00,4.4063,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.8612,0.0468,0.2754,2.5426,0.1011,0.0000,0.0000,0.0000
