frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
339,6.1585,0.0000,17.2269,6.7092,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,914423808,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0012,0.0554,0.0453,0.0043,0.0000,0.0033,6.7092,0.0315,0.0000,0.2108,0.0003,0.0002,0.1296,0.0013,0.0004,0.0000,0.0000,0.0005
340,6.1769,0.0000,21.2113,3.7119,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915046400,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0015,0.0565,0.0334,0.0041,0.0000,0.0039,3.7119,0.0238,0.0000,0.2079,0.0003,0.0002,0.1345,0.0008,0.0004,0.0000,0.0000,0.0006
341,6.1957,0.0000,18.7735,3.8535,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915050496,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0013,0.0335,0.0342,0.0039,0.0000,0.0031,3.8535,0.0093,0.0000,0.1773,0.0003,0.0002,0.1126,0.0013,0.0003,0.0000,0.0000,0.0004
342,6.2137,0.0000,17.2334,4.5214,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915050496,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0020,0.0903,0.0712,0.0123,0.0000,0.0114,4.5214,0.0215,0.0000,0.2552,0.0007,0.0010,0.1557,0.0015,0.0008,0.0000,0.0000,0.0016
343,6.2396,0.0000,18.7795,11.7219,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915050496,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0023,0.0732,0.0518,0.0076,0.0000,0.0040,11.7219,0.0215,0.0000,6.3017,0.0006,0.2128,0.1582,0.9752,0.0005,0.0000,0.0000,4.8627
344,6.2541,0.0000,22.1712,3.6647,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915050496,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0384,0.0337,0.0039,0.0000,0.0025,3.6647,0.0104,0.0000,0.1827,0.0004,0.0002,0.1152,0.0009,0.0006,0.0000,0.0000,0.0004
345,6.2739,0.0000,19.8379,4.2622,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915124224,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0011,0.0464,0.0352,0.0040,0.0000,0.0025,4.2622,0.0484,0.0000,0.2024,0.0003,0.0003,0.1366,0.0010,0.0003,0.0000,0.0000,0.0004
346,6.2914,0.0000,16.3903,5.0066,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915124224,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0010,0.0515,0.0540,0.0067,0.0000,0.0053,5.0066,0.0109,0.0000,0.1715,0.0003,0.0002,0.1119,0.0006,0.0006,0.0000,0.0000,0.0004
347,6.3093,0.0000,18.9052,4.1328,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915124224,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0012,0.0501,0.0429,0.0033,0.0000,0.0026,4.1328,0.0128,0.0000,0.2109,0.0003,0.0002,0.1364,0.0008,0.0004,0.0000,0.0000,0.0004
348,6.3277,0.0000,18.6833,3.6476,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915124224,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0005,0.0013,0.0340,0.0314,0.0036,0.0000,0.0029,3.6476,0.0107,0.0000,0.1686,0.0002,0.0002,0.1120,0.0006,0.0005,0.0000,0.0000,0.0004
349,6.3471,0.0000,19.0411,4.1198,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915124224,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0013,0.0342,0.0327,0.0038,0.0000,0.0031,4.1198,0.0096,0.0000,0.1727,0.0003,0.0002,0.1113,0.0007,0.0003,0.0000,0.0000,0.0004
350,6.3644,0.0000,17.7272,3.6701,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0010,0.0403,0.0352,0.0033,0.0000,0.0022,3.6701,0.0097,0.0000,0.1879,0.0003,0.0002,0.1280,0.0007,0.0003,0.0000,0.0000,0.0004
351,6.3833,0.0000,18.7463,3.8905,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0347,0.0307,0.0035,0.0000,0.0028,3.8905,0.0105,0.0000,0.1693,0.0003,0.0002,0.1096,0.0006,0.0003,0.0000,0.0000,0.0006
352,6.4017,0.0000,17.6833,4.3377,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1522,362,0,0,915128320,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0011,0.0428,0.0349,0.0036,0.0000,0.0025,4.3377,0.0118,0.0000,0.1869,0.0004,0.0003,0.1141,0.0007,0.0004,0.0000,0.0000,0.0009
