frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
1217,13.1743,0.0000,8.9554,5.1470,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804311040,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0013,0.0439,0.0315,0.0042,0.0039,5.1470,0.0158,0.0000,1.0397,0.0003,0.1862,0.1538,0.0008,0.0006,0.0000,0.0000,0.0004
1218,13.1835,0.0000,9.1485,5.2513,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0012,0.0408,0.0321,0.0041,0.0037,5.2513,0.0116,0.0000,0.9921,0.0004,0.1713,0.1557,0.0017,0.0009,0.0000,0.0000,0.0004
1219,13.1924,0.0000,9.4393,4.5100,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0005,0.0007,0.0298,0.0228,0.0015,0.0037,4.5100,0.0126,0.0000,0.6928,0.0002,0.1192,0.1164,0.0006,0.0003,0.0000,0.0000,0.0003
1220,13.2041,0.0000,10.9600,5.4409,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0465,0.0329,0.0026,0.0043,5.4409,0.0154,0.0000,1.0083,0.0003,0.1707,0.1232,0.0007,0.0004,0.0000,0.0000,0.0004
1221,13.2136,0.0000,9.3785,5.5340,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0483,0.0340,0.0037,0.0033,5.5340,0.0161,0.0000,1.0020,0.0005,0.1802,0.1514,0.0013,0.0008,0.0000,0.0000,0.0004
1222,13.2233,0.0000,9.7669,5.4243,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0432,0.0392,0.0049,0.0023,5.4243,0.0148,0.0000,1.0319,0.0003,0.1808,0.1485,0.0024,0.0006,0.0000,0.0000,0.0003
1223,13.2328,0.0000,9.3284,5.6433,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0012,0.0446,0.0362,0.0037,0.0042,5.6433,0.0228,0.0000,1.0899,0.0003,0.1752,0.1574,0.0014,0.0007,0.0000,0.0000,0.0007
1224,13.2415,0.0000,9.4542,4.9526,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0016,0.0368,0.0359,0.0037,0.0031,4.9526,0.0128,0.0000,1.0183,0.0005,0.1736,0.1717,0.0013,0.0008,0.0000,0.0000,0.0007
1225,13.2503,0.0000,9.1667,4.4938,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0019,0.0465,0.0301,0.0026,0.0043,4.4938,0.0158,0.0000,0.9641,0.0004,0.1718,0.1342,0.0007,0.0005,0.0000,0.0000,0.0007
1226,13.2584,0.0000,8.5108,4.0585,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804315136,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0006,0.0308,0.0212,0.0018,0.0022,4.0585,0.0077,0.0000,0.6708,0.0002,0.1189,0.0877,0.0004,0.0002,0.0000,0.0000,0.0003
