frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
316,6.1574,0.0000,29.5387,13.4506,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,225,360,8,82,182,0,16,17,8,0,19140,824,83,40,911167488,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,31,15,15,15,16,11,14,20,13,12,0,0.0011,0.0106,0.1384,0.0495,0.0075,0.0000,0.0305,13.4506,0.0670,0.0000,0.0000,0.0000,2.7744,0.0834,0.4497,0.3458,0.6427,0.1005,0.0000,52.8543,0.0011
317,6.1843,0.0000,30.3397,10.8279,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,231,360,8,80,180,0,16,17,8,0,19371,832,75,40,911167488,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,31,15,15,15,16,11,14,18,21,12,0,0.0002,0.0026,0.1292,0.0885,0.0060,0.0000,0.0056,10.8279,0.0909,0.0000,0.0000,0.0000,2.3948,0.0382,0.3068,0.1992,0.5493,0.0109,0.0000,57.8305,0.0011
318,6.2154,0.0000,24.5251,16.2670,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,231,360,8,79,179,0,16,17,8,0,19371,840,67,40,911245312,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,31,15,15,15,16,11,14,18,21,12,0,0.0004,0.0043,0.1046,0.1567,0.0130,0.0000,0.0089,16.2670,0.0488,0.0000,0.0000,0.0000,2.9515,0.0996,0.3890,0.5130,0.7170,0.0520,0.0000,42.2845,0.0007
319,6.2517,0.0000,32.2645,21.1834,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,249,360,8,83,183,0,16,17,8,0,19620,848,59,40,911249408,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,31,14,18,18,19,14,17,22,21,12,0,0.0005,0.0030,0.0602,0.1378,0.0137,0.0000,0.0147,21.1834,0.0200,0.0000,0.0000,0.0000,3.7943,0.2514,0.5161,0.1570,1.6232,0.0713,0.0000,64.6451,0.0011
320,6.2757,0.0000,30.5637,13.6601,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,249,360,8,86,186,0,16,17,8,0,19620,856,51,40,911728640,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,31,14,18,18,19,14,17,22,21,12,0,0.0002,0.0058,0.0505,0.1473,0.0164,0.0000,0.0203,13.6601,0.0181,0.0000,0.0000,0.0000,2.6724,0.0249,0.5226,0.2127,0.7485,0.0123,0.0000,61.0386,0.0009
321,6.3117,0.0000,30.7530,19.3071,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,258,360,8,88,188,0,16,17,8,0,19878,864,43,40,911728640,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,31,13,21,21,23,14,17,22,21,12,0,0.0005,0.0026,0.0751,0.1189,0.0133,0.0000,0.0097,19.3071,0.0261,0.0000,0.0000,0.0000,4.7657,0.1508,0.4026,2.1189,0.8933,0.0229,0.0000,57.0901,0.0012
322,6.3387,0.0000,29.0721,16.6221,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,291,360,8,88,188,0,16,17,8,0,20169,872,35,40,911736832,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,28,25,21,22,21,12,0,0.0002,0.0033,0.0766,0.0606,0.0088,0.0000,0.0070,16.6221,0.0238,0.0000,0.0000,0.0000,2.7361,0.0695,0.4388,0.3446,0.9219,0.0563,0.0000,68.6544,0.0013
323,6.3717,0.0000,31.6863,18.6392,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,303,360,8,88,188,0,16,17,8,0,20472,880,27,40,911745024,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,28,24,23,29,25,12,0,0.0012,0.0066,0.0592,0.1245,0.0231,0.0000,0.0100,18.6392,0.0207,0.0000,0.0000,0.0000,3.9379,0.0460,0.4898,0.1835,1.3114,0.0192,0.0000,68.2535,0.0010
324,6.3910,0.0000,25.8176,13.4333,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,309,360,8,89,189,0,16,17,8,0,20781,888,19,40,911745024,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,28,24,23,29,23,20,0,0.0004,0.0024,0.0500,0.0382,0.0039,0.0000,0.0063,13.4333,0.0277,0.0000,0.0000,0.0000,1.7603,0.0244,0.3876,0.1444,0.6228,0.0088,0.0000,60.1407,0.0015
325,6.4190,0.0000,26.4739,12.7811,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,324,360,8,90,190,0,16,17,8,0,21105,896,11,40,911749120,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,20,39,30,15,27,27,27,26,30,32,27,20,0,0.0008,0.0024,0.0640,0.0886,0.0205,0.0000,0.0115,12.7811,0.0221,0.0000,0.0000,0.0000,2.9263,0.0837,0.5322,0.1719,1.0394,0.0340,0.0000,53.3696,0.0017
