frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1270,16.9765,0.0000,12.1710,4.1291,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758403072,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0008,0.0018,0.0372,0.0408,0.0060,0.0065,4.1291,0.0117,0.0000,0.1730,0.0004,0.0002,0.0832,0.0006,0.0003,0.0003
1271,16.9897,0.0000,13.3376,4.1163,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758403072,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0009,0.0342,0.0300,0.0032,0.0023,4.1163,0.0195,0.0000,0.1955,0.0003,0.0003,0.1096,0.0009,0.0005,0.0003
1272,17.0023,0.0000,12.6579,4.1111,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758403072,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0012,0.0371,0.0267,0.0018,0.0042,4.1111,0.0111,0.0000,0.2022,0.0005,0.0001,0.1078,0.0004,0.0004,0.0002
1273,17.0153,0.0000,12.8063,4.3576,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758403072,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0008,0.0353,0.0342,0.0032,0.0037,4.3576,0.0114,0.0000,0.2032,0.0003,0.0002,0.1105,0.0007,0.0008,0.0006
1274,17.0284,0.0000,12.9186,4.5060,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758403072,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0027,0.0340,0.0655,0.0065,0.0068,4.5060,0.0102,0.0000,0.2014,0.0007,0.0003,0.1010,0.0014,0.0009,0.0007
1275,17.0413,0.0000,13.0106,4.2733,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758403072,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0010,0.0290,0.0267,0.0024,0.0031,4.2733,0.0130,0.0000,0.1563,0.0003,0.0002,0.0831,0.0009,0.0004,0.0006
1276,17.0561,0.0000,14.2703,4.7765,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758407168,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0012,0.0458,0.0470,0.0074,0.0044,4.7765,0.0172,0.0000,0.2111,0.0004,0.0003,0.1103,0.0007,0.0004,0.0002
1277,17.0684,0.0000,12.7825,4.3233,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758407168,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0440,0.0313,0.0037,0.0029,4.3233,0.0144,0.0000,0.2143,0.0003,0.0002,0.1074,0.0012,0.0004,0.0003
1278,17.0813,0.0000,13.1430,4.1255,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758407168,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0014,0.0441,0.0628,0.0087,0.0034,4.1255,0.0131,0.0000,0.2067,0.0003,0.0002,0.1060,0.0009,0.0004,0.0003
1279,17.0951,0.0000,13.1211,4.5327,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,351,351,0,0,100,5,16,16,0,428544,0,351,0,0,758439936,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,36,39,30,14,30,30,30,30,30,30,36,16,0,0.0004,0.0016,0.0426,0.0514,0.0062,0.0044,4.5327,0.0164,0.0000,0.2517,0.0006,0.0003,0.1403,0.0016,0.0005,0.0004
