frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_selection_ms
1263,17.9781,0.0000,11.4198,5.8105,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799395840,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0491,0.0702,0.0044,0.0205,0.0704,0.0489,5.8105,0.0770,0.0000,1.0653,0.0033,0.0001,0.4176,0.0099,0.0031,0.0001
1264,17.9907,0.0000,12.0419,6.4053,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799395840,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0013,0.0552,0.0677,0.0056,0.0286,0.0856,0.0455,6.4053,0.0759,0.0000,1.0927,0.0213,0.0001,0.4187,0.0082,0.0206,0.0001
1265,18.0024,0.0000,12.3326,5.6149,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0022,0.0562,0.0688,0.0068,0.0256,0.0900,0.0491,5.6149,0.0783,0.0000,1.0458,0.0025,0.0001,0.4073,0.0104,0.0027,0.0001
1266,18.0141,0.0000,11.9261,5.7278,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0015,0.0532,0.0667,0.0059,0.0219,0.0768,0.0459,5.7278,0.0703,0.0000,1.0105,0.0041,0.0001,0.4092,0.0104,0.0062,0.0002
1267,18.0249,0.0000,10.5361,5.8713,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0018,0.0496,0.0669,0.0048,0.0236,0.0695,0.0457,5.8713,0.0772,0.0000,1.0324,0.0040,0.0001,0.4007,0.0089,0.0061,0.0002
1268,18.0371,0.0000,11.9196,5.9396,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0014,0.0476,0.0666,0.0043,0.0195,0.0653,0.0469,5.9396,0.0759,0.0000,0.9935,0.0034,0.0001,0.3982,0.0102,0.0053,0.0002
1269,18.0478,0.0000,11.1353,5.7931,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0031,0.0463,0.0720,0.0049,0.0245,0.0780,0.0512,5.7931,0.0888,0.0000,1.1052,0.0054,0.0001,0.4785,0.0085,0.0066,0.0002
1270,18.0598,0.0000,11.6529,5.9642,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0018,0.0596,0.0663,0.0046,0.0278,0.1153,0.0485,5.9642,0.0837,0.0000,1.0551,0.0052,0.0003,0.4062,0.0117,0.0061,0.0002
1271,18.0894,0.0000,12.5709,23.1238,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0019,0.0548,0.1119,0.0051,0.0204,0.0686,0.0458,23.1238,0.0834,0.0000,17.6566,0.0036,1.0764,0.4025,0.0322,0.0052,15.4822
1272,18.0970,0.0000,10.9047,6.1643,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,295,295,0,0,100,1,11,11,0,246528,0,295,0,0,799399936,0.000000,0.000000,17.609471,0.00,0,2,4,25,17,20,26,13,24,55,97,12,0,0,0,0,0,0,0.0032,0.0743,0.0622,0.0073,0.0236,0.0630,0.0835,6.1643,0.0641,0.0000,1.0422,0.0057,0.0003,0.3100,0.0276,0.0067,0.0002
